BSE_CODE,BSE_NAME,BSE_SYMBOL,BSE_SECURITY_NAME,Status,Group,BSE_FACE_VALUE,ISIN,Instrument,NSE_SYMBOL,NSE_NAME,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,NSE_FACE_VALUE,CompanyName,Ticker,Exchange
535322,Repco Home Finance Limited,REPCOHOME,Repco Home Finance Ltd,Active,B ,10,INE612J01015,Equity,REPCOHOME,Repco Home Finance Limited,EQ,1-Apr-13,10,1,10,Repco Home Finance Limited,REPCOHOME.NS,BOTH
532870,Ankit Metal  & Power Limited,ANKITMETAL,Ankit Metal & Power Ltd,Active,Z ,10,INE106I01010,Equity,ANKITMETAL,Ankit Metal & Power Limited,BZ,14-Mar-13,10,1,10,Ankit Metal & Power Limited,ANKITMETAL.NS,BOTH
531453,Mohit Industries Limited,MOHITIND,Mohit Industries Ltd-$,Active,T ,10,INE954E01012,Equity,MOHITIND,Mohit Industries Limited,BE,14-Mar-13,10,1,10,Mohit Industries Limited,MOHITIND.NS,BOTH
534976,V-Mart Retail Limited,VMART,V-Mart Retail Ltd,Active,A ,10,INE665J01013,Equity,VMART,V-Mart Retail Limited,EQ,20-Feb-13,10,1,10,V-Mart Retail Limited,VMART.NS,BOTH
134816,INDUS TOWERS LIMITED,INDUSTOWER#,INDUS TOWERS LIMITED,Active,A ,10,INE121J01017,Equity,INDUSTOWER,Indus Towers Limited,EQ,28-Dec-12,10,1,10,Indus Towers Limited,INDUSTOWER.NS,BOTH
534809,PC JEWELLER LIMITED,PCJEWELLER,PC Jeweller Ltd,Active,A ,1,INE785M01021,Equity,PCJEWELLER,PC Jeweller Limited,EQ,27-Dec-12,1,1,1,PC Jeweller Limited,PCJEWELLER.NS,BOTH
534804,CARE Ratings Limited,CARERATING,CARE Ratings Ltd,Active,A ,10,INE752H01013,Equity,CARERATING,CARE Ratings Limited,EQ,26-Dec-12,10,1,10,CARE Ratings Limited,CARERATING.NS,BOTH
534742,ZUARI AGRO CHEMICALS LIMITED,ZUARI,Zuari Agro Chemicals Ltd,Active,B ,10,INE840M01016,Equity,ZUARI,Zuari Agro Chemicals Limited,EQ,27-Nov-12,10,1,10,Zuari Agro Chemicals Limited,ZUARI.NS,BOTH
120056,TVS Holdings Limited,TVSHLTD#,TVS Holdings Limited,Active,A ,5,INE105A01035,Equity,TVSHLTD,TVS Holdings Limited,EQ,23-Oct-12,5,1,5,TVS Holdings Limited,TVSHLTD.NS,BOTH
534674,Ducon Infratechnologies Limited,DUCON,Ducon Infratechnologies Ltd,Active,B ,1,INE741L01018,Equity,DUCON,Ducon Infratechnologies Limited,EQ,9-Oct-12,1,1,1,Ducon Infratechnologies Limited,DUCON.NS,BOTH
